label,message
0,quite late lar ard 12 anyway wun b drivin
0,tuesday night r u 4 real
0,go chase run shes crossing street
0,g says never answer texts confirmdeny
0,still work going onit small house
0,think could stop like hour roommates looking stock trip
0,lol great im getting hungry
0,would good ill phone tomo lunchtime shall organise something
0,yesterday true true
0,ya nice ready thursday
0,hi way u 2day normal waythis real ur uniquei hope know u 4 rest mylife hope u find wot lost
0,today accept dayu accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy
0,u look 4 da lib got stuff havent finish yet
0,ok
1,loan purpose 500 75000 homeowners tenants welcome previously refused still help call free 0800 1956669 text back help
0,rushing im working im school rush go hungry
0,im ok wif cos like 2 try new things scared u dun like mah cos u said loud
0,
0,gd luck 4 ur exams
0,campus library
0,im good movie ok leave hourish
1,u secret admirer looking 2 make contact ufind rreveal thinks ur specialcall 09058094599
0,rofl true name
0,bit ur smile hppnss drop ur tear sorrow part ur heart life heart like mine wil care u forevr goodfriend
0,knew u slept v late yest wake late
0,dear mood cant drive brother drive
0,work right
0,hmmmstill dont opener
0,lol yeah point guess
0,wasnt well babe swollen glands throat end
0,simple arithmetic percentages
0,yesterday going home
0,india win level series means record
0,dunno dats wat told ok lor
0,im meeting call later
0,yes know cheesy songs frosty snowman
1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed 1000 cash 5000 prize
0,callsmessagesmissed calls
0,happy come noon
0,yes please swimming
0,lol could starve lose pound end day
0,life means lot love life love people life world calls friends call world ge
0,havent eaten day im sitting staring juicy pizza cant eat meds ruining life
0,yeah thats thinking
0,thought bout drink tap spile seven pub gas st broad st canal ok
1,hi 07734396839 ibh customer loyalty offer new nokia6600 mobile 10 txtauctiontxt wordstart no81151 get now4t
0,hate turns fun shopping trip annoying day everything would look house
0,dog must always wait till end day word run time cell already
0,u wan 2 haf lunch im da canteen
0,im home please call
0,stopped get ice cream go back
0,slave want take 2 3 pictures today bright light cell phone bright light
0,aww must nearly deadwell jez iscoming todo workand whilltake forever
0,one small prestige problem
0,dice art class 6 thru 9 thanks though idea time come tomorrow
0,im freezing craving ice fml
0,whatsup dont u want sleep
1,5 free top polyphonic tones call 087018728737 national rate get toppoly tune sent every week text subpoly 81618 3 per pole unsub 08718727870
0,hi dear call urgnt dont know whats problem dont want work problem least tell wating reply
0,mum ive sent many many messages since got want know actually getting enjoy rest day
0,aight ill text im back
0,yup leaving right back soon
0,merry christmas babe love ya kisses
0,well officially philosophical hole u wanna call home ready saved
0,great escape fancy bridge needs lager see tomo
1,freeringtone reply real poly eg real1 1 pushbutton 2 dontcha 3 babygoodbye 4 golddigger 5 webeburnin 1st tone free 6 u join 3wk
0,yesim office da
0,im done c
0,anything valuable 2 situations first getting second loosing
0,fineabsolutly fine
0,talk g x
0,kkwhere youhow performed
1,send logo 2 ur lover 2 names joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ads 150p
0,oh love soooo good hear omg missed much today im sorry problems provider thank tming
0,idea soon get converted live
0,search 4 happiness 1 main sources unhappiness accept life way comes u find happiness every moment u live
0,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling
0,im really really broke oh amount small even ltgt
1,u secret admirer looking 2 make contact ufind rreveal thinks ur specialcall 09058094599
0,tot u outside cos darren say u come shopping course nice wat jus went sim lim look mp3 player
0,getting back home
0,confirm eating esplanade
0,k k sms chat
0,waqt se pehle naseeb se zyada kisi ko kuch nahi miltazindgi wo nahi jo hum sochte hai zindgi wo hai jo ham jeetey hai
1,moby pub quizwin 100 high street prize u know new duchess cornwall txt first name 82277unsub stop 150 008704050406 sp arrow
0,need ke qi bored izzit suddenly thk
0,class ltgt reunion
1,500 new mobiles 2004 must go txt nokia 89545 collect todayfrom 1 www4tcbiz 2optout 08718726270150gbpmtmsg18 txtauction
0,happy sad one thing past good morning
0,yup already thanx 4 printing n handing
0,yup hey one day fri ask miwa jiayin take leave go karaoke
0,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct
1,wan2 win meetgreet westlife 4 u m8 currently tour 1unbreakable 2untamed 3unkempt text 12 3 83049 cost 50p std text
0,tee hee lecture cheery bye bye
1,nokia 7250i get win free auction take part send nokia 86021 hgsuite3422lands roww1jhl 16
1,freemsg hey im buffy 25 love satisfy men home alone feeling randy reply 2 c pix qlynnbv help08700621170150p msg send stop stop txts
0,okie
0,remind get shall
0,family happiness
0,many people seems special first sight remain special till last sight maintain till life ends shjas
1,new tones week include 1mcflyall ab 2 sara jorgeshock 3 smithswitch order follow instructions next message
0,going sao mu today done 12
0,think asking gym excuse lazy people jog
0,u mean u almost done done wif sleeping tot u going take nap yup send liao im picking ard 4 smth lor
0,great getting worried know wonderful caring person like best life know u r wonderful gods love
0,reach ur home ltgt minutes
0,youve always brainy one
0,sorry missed call please call back
1,welcome select o2 service added benefits call specially trained advisors free mobile dialling 402
1,dear voucher holder claim weeks offer pc please go httpwwwwtlpcouktext tscs apply
1,hello need posh birds chaps user trial prods champneys put need address dob asap ta r
0,brainless baby dolld vehicle sariyag drive madoke barolla
0,im class holla later
0,u lunch alone bored
0,frnd juz wordnot merely relationshipits silent promise says wherevr whenevr forevr gudnyt dear
0,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer
0,k sent
0,wasnt enough trouble sleeping
0,haf enuff space got like 4 mb
0,like made throw smoking friends car one time awesome
0,dont understand message
0,happy saying
0,babe goes day sip cappuccino think love send kiss across sea
0,send text well skype later
0,mm umma ask vava also come tell play later together
1,mobile number 5000 claim calls us back ring claims hot line 09050005321
0,yup im free
0,problem talk later
1,thanks ringtone order ref number k718 mobile charged 450 tone arrive please call customer services 09065069120
0,going bed prin
1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr 82277 150 sptyrone
0,go buy wif meet later
1,moby pub quizwin 100 high street prize u know new duchess cornwall txt first name 82277unsub stop 150 008704050406 sp
0,hey kate hope ur ok give u buz wedlunch go outsomewhere 4 adrink towncud go 2watershd 4 bit ppl fromwrk bthere love petexxx
0,maybe could get book tomo return immediately something
0,call like ltgt times oh give us hypertension oh
0,k ill sure get noon see whats
0,love wine dine lady
0,well meant opposed drunken night
1,twinks bears scallies skins jocks calling dont miss weekends fun call 08712466669 10pmin 2 stop texts call 08712460324nat rate
0,also cbe pay
0,si take mokka players
0,msg rajini comes
0,yo yo yo byatch whassup
0,lets make saturday monday per convenience
0,k come nordstrom youre done
0,sorry sent blank msg yup trying 2 serious studying
0,omg joanna freaking shes looked thru friends find photos shes asking stuff myspace havent even logged like year
0,eat shit wait ur monkey face bitch u asshole
0,sir waiting letter
0,let know changes next 6hrs even appendix age range however impossible chill let know 6hrs
0,im home n ready
0,yo jp hungry like mofo
0,hmm many unfortunately pics obviously arent hot cakes kinda fun tho
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausagelove jen xxx
0,kind took garage centre part exhaust needs replacing part ordered n taking fixed tomo morning
0,nvm im going wear sport shoes anyway im going late leh
0,ok called mom instead fun
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
0,thanks hope good day today
0,cant pick phone right pls send message
0,cbe really good nowadayslot shop showroomscity shaping good
0,check maili mailed varma kept copy regarding membershiptake careinsha allah
0,know serving mean
0,want send virtual hug need one
0,date sunday
0,hey looks like wrong one kappa guys numbers still phone want text see hes around
0,yup comin
0,sent scores sophas secondary application schools think thinking applying research cost also contact joke ogunrinde school one less expensive ones
0,kothi print marandratha
0,effect irritation ignore
0,asked call ok
0,whatever juliana whatever want
0,hello got st andrewsboy long way cold keep posted
0,sir thats 8hr trip bus last week another audition next wednesday think might drive time
0,ur physics get
0,okie
0,u see posted facebook
0,sorry sir call tomorrow senthilhsbc
1,congrats nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobiles 16 close 300603 post bcm4284 ldn wc1n3xx
0,wat time u finish ur lect today
0,late
0,1 thing change sentence want 2 concentrate educational career im leaving
0,whenever see still hook
0,thats honeymoon outfit
0,thought praps meant another one goodo ill look tomorrow
0,dont pick call something important tell hrishi
0,fuuuuck need stop sleepin sup
0,well thats nice bad cant eat
0,way make sure u get train worc foregate street shrub hill fun night x
0,honeybee said im sweetest world god laughed amp said waitu havnt met person reading msg moral even god crack jokes gmgngegn
0,hey babe far 2 spunout 2 spk da mo dead 2 da wrld sleeping da sofa day cool nytho tx 4 fonin hon call 2mwen im bk frmcloud 9 j x
0,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moralone 4get name person bt girlfrnd g n g h
0,think ive fixed send test message
0,hows queen going royal wedding
0,brother genius
0,give sec think think
0,clothes jewelry trips
0,ok arm feeling weak cuz got shot go another time
0,please give 2 pick tuesday evening 8 ok
1,wont believe true incredible txts reply g learn truly amazing things blow mind o2fwd 18ptxt
0,im really sorry lit hair fire
0,whats room number wanna make sure im knocking right door
0,shuhui say change 2 suntec steamboat u noe r u
0,hey sexy buns told adore loverboy hope remember thank sister law meatballs grins love babe
0,waiting e car dats bored wat cos wait outside got nothing 2 home stuff watch tv wat
0,nofew hours beforewent hair cut
0,stop calling everyone saying might cancer throat hurts talk cant answering everyones calls get one call im babysitting monday
0,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
0,ur face test 1 2 3 4 5 6 7 8 9 ltgt select number tell ur face astrology waiting quick reply
0,u workin overtime nigpun
0,prakesh know
0,dunno wat get 4
0,means still think teju
0,great run ttyl
0,e msg jus u said thanks gift
0,im sure still available though
0,really need 2 kiss u miss u baby ur baby 4eva
0,dunno lets go learn pilates
0,right meanwhile hows project twins comin
0,hiwhat think match
0,honey sweetheart darling sexy buns sugar plum loverboy miss boytoy smacks ass go gym
1,congrats nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobiles 16 close 300603 post bcm4284 ldn wc1n3xx
1,get 3 lions england tone reply lionm 4 mono lionp 4 poly 4 go 2 wwwringtonescouk original n best tones 3gbp network operator rates apply
1,want new video handset 750 anytime network mins half price line rental camcorder reply call 08000930705 delivery tomorrow
0,okay going sleep later
0,ive barred b q stores lifethis twat orange dungerees came asked wanted decking got first punch
0,come ur home
0,sch neva mind u eat 1st lor
0,otherwise part time job natuition
0,gonna death im gonna leave note says robs fault avenge
0,ard 530 lor ok message lor
0,haha cant tmr forfeit haha
0,pls whats full name jokes school cos fees university florida seem actually ltgt k pls holla back
0,im sure checking happening around area
0,yeah go bored depressed sittin waitin phone ring hope wind drops though scary
0,time week ryan
0,come room point iron plan weekend
0,reach office around ltdecimalgt amp mobile problem cannt get voice call asa ill free
0,alright thanks advice enjoy night ima try get sleep
0,aaooooright work
0,wake ltgt morning
0,stop however suggest stays someone able give ors every stool
0,called said himthen choose future
0,probably gonna swing wee bit
0,hey babe hows going ever figure going new years
0,hahahause brain dear
0,meeting u work tel shall work tomorrow
0,finished work yet something
1,urgent please call 09061213237 landline 5000 cash luxury 4 canary islands holiday await collection tcs sae po box 177 m227xy 150ppm 16
0,wot u 2 bitch
0,fucking chickened messaged would late woould buzz didnt hear word
0,lovely night xxx
0,together thinkin
0,im reading text sent meant joke read light
0,ltgt thats guess thats easy enough
1,congratulations thanks good friend u 2000 xmas prize 2 claim easy call 08718726978 10p per minute btnationalrate
0,hows weather
0,good words words may leave u dismay many times
0,olol printed forum post guy exact prob fixed gpu replacement hopefully dont ignore
0,hurting n meaningful lines ever compromised everything love end love compromised everything gud mornin
0,idk keep saying youre since moved keep butting heads freedom vs responsibility im tired much shit deal im barely keeping together gets added
0,watching tv lor
0,ride equally uneventful many pesky cyclists around time night
0,r many modelsony ericson also der ltgt luks good bt forgot modl
0,send naughty pix
0,send pic like
0,guy flash go call call madam take care oh
0,come n pick 530 ar
0,hi dis yijue would happy work wif gek1510
0,realy sorryi dont recognise number confused r u please
1,credits topped httpwwwbubbletextcom renewal pin tgxxrz
0,wats da decision
0,k tell anything
0,yeah able ill text im ready meet
0,know god created gap fingers one made comes amp fills gaps holding hand love
0,already one guy loving
1,free entry 2 weekly comp chance win ipod txt pod 80182 get entry std txt rate tcs apply 08452810073 details 18
0,hey something came last min think wun signing tmr hee
1,free 1st week entry 2 textpod 4 chance 2 win 40gb ipod 250 cash every wk txt pod 84128 tscs wwwtextpodnet custcare 08712405020
0,skallis wont play first two odi
0,ok may free gym
0,still working time also tried adding zeros savings checking ltgt
0,bloody hell cant believe forgot surname mr ill give u clue spanish begins
0,thanx lot 4 ur help
0,might accidant tookplace somewhere ghodbandar rd traffic moves slovely plz slip amp dont worry
0,much ur hdd casing cost
0,training tomorrow
0,well watch shrek 3db
0,watching tv lor nice one like lor
1,natalja 25f inviting friend reply yes440 no440 see wwwsmsacunat27081980 stop send stop frnd 62468
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
0,great p diddy neighbor comes toothpaste every morning
0,ever green quote ever told jerry cartoon person irritates u always one loves u vry much fails express gud nyt
0,beerage
0,day working dayexcept saturday sunday
1,u win 100 music gift vouchers every week starting txt word draw 87066 tscs wwwidewcom skillgame 1winaweek age16 150ppermesssubscription
0,ummmmmaah many many happy returns day dear sweet heart happy birthday dear
0,sorry cant help
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
0,going take babe
0,guessin aint gonna 9
0,decided people care stuff vote caring stuff losers
0,time tell friend around
0,hello good week fancy drink something later
0,yes completely formclark also utter waste
0,tirupur da started office call
0,message truro hospital ext phone phone side
0,im still pretty weak today bad day
0,channel
0,ok lor thanx school
0,people see msgs think iam addicted msging wrong bcoz dont know iam addicted sweet friends bslvyl
0,many dependents
0,give us back id proof ltgt rs wont allow work come home within days
1,free msg ringtonefrom httptms widelivecomindex wmlid1b6a5ecef91ff937819firsttrue180430jul05
0,u ask next sat make im ok lor
0,ditto wont worry saying anything anymore like said last night whatever want ill peace
0,sure neighbors didnt pick
0,happened adventuring
0,first strike red one bird antelope begin toplay fieldof selfindependence believe flower contention growrandom
0,dont know supports ass srt thnk think ps3 play usb
0,say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls
0,hi jess dont know work call u im home eve xxx
1,chance reality fantasy show call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 national rate call
0,ok
0,haha yup hopefully lose kg mon hip hop go orchard weigh
0,alrite jod hows revision goin keris bin doin smidgin n e way u wanna cum collegexx
0,freezing home yet remember kiss mom morning love think missing yet
0,tell dear happen talking like alian
0,good evening roger
0,okie thanx
1,gent trying contact last weekends draw shows 1000 prize guaranteed call 09064012160 claim code k52 valid 12hrs 150ppm
0,liked new mobile
0,erutupalam thandiyachu
0,jason says cool pick place like hour
1,mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free 08002986030
0,yup im elaborating safety aspects issues
0,bishan lar nearer need buy early cos buy gotta park car
0,guy car shop flirting got phone number paperwork called texted im nervous course may address call boss tell knowing may get fired
0,yes finished watching days lives love
0,u studying sch going home anyway ill b going 2 sch later
0,excellent thought misundrstud frnd knw u hate bt day wen ull knw truth ull hate urself gn
0,ltgt ish minutes 5 minutes ago wtf
0,dear reach
0,hi yijue meet u 11 tmr
0,think might give miss teaching til twelve lecture two damn working thing
0,saturday sunday holiday difficult
0,tomarrow want got court ltdecimalgt come bus stand 9
1,got takes 2 take part wrc rally oz u lucozade energy text rally le 61200 25p see packs lucozadecoukwrc itcould u
0,oh ok wait 4 lect havent finish
0,problem
0,available soiree june 3rd
1,customer service announcement recently tried make delivery unable please call 07090298926 reschedule ref9307622
0,lot sickness thing going round take easy hope u feel better soon lol
0,ok din get ur msg
0,mathews tait edwards anderson
0,tagged friends seemed count friends
0,got itmail panren paru
0,know ltgt ill around 5
1,sunshine hols claim ur med holiday send stamped self address envelope drinks us uk po box 113 bray wicklow eire quiz starts saturday unsub stop
0,watching tv got new job
1,1 new voicemail please call 08719181503
0,pen thing beyond joke wont biro dont masters cant ever
0,let snow let snow kind weather brings ppl together friendships grow
0,probs hon u doinat mo
0,read shame tell takes runs blame u 4 ever really 4 ever long time
0,goodmorning today late ltdecimalgt min
0,alreadysabarish asked go
1,jamster get free wallpaper text heart 88888 tc apply 16 need help call 08701213186
0,im guy browsin compulsory
0,come alivebetter correct good looking figure
0,id say thats good sign well know track record reading women
1,private 2003 account statement shows 800 unredeemed points call 08715203694 identifier code 40533 expires 311004
0,hey babe friend cancel still visit
0,hope good week checking
0,wait thats still clear sure sarcastic thats x doesnt want live us
0,okok okthenwhats ur todays plan
0,lol please actually send pic right wanna see pose comb hair dryer something
0,call get chance plz lt3
0,k roommate also wants dubsack another friend may also want plan bringing extra ill tell know sure
0,thats good lets thank god please complete drug lots water beautiful day
0,didnt get ur full msgsometext missing send
0,honey boo im missing u
0,r e meeting tmr
0,happy new year princess
0,1 go write msg 2 put dictionary mode 3cover screen hand 4press ltgt 5gently remove ur hand interesting
0,shall ask one thing dont mistake
1,double mins double txt 12 price linerental latest orange bluetooth mobiles call mobileupd8 latest offers 08000839402 call2optoutlf56
0,slept timeyou
0,still tonight
